backend,queries,mean_shortlist_parents,median_shortlist_parents,candidate_pool_under_10_queries,empty_shortlist_queries,mean_known_parent_recall,all_known_true_parents_present_rate,mean_exact_top10_overlap,exact_top10_identical_rate,search_mean_ms,search_p50_ms,search_p95_ms,search_p99_ms,speedup_p50_vs_exact,speedup_p95_vs_exact,index_build_ms,index_keys
EXACT,360,60.0,60.0,0,0,0.9744444444444446,0.9433333333333334,1.0,1.0,11.292881005555556,11.017085999999999,13.049842400000001,15.763580510000004,1.0,1.0,0.0,0
FAST,360,17.625,15.0,97,0,0.9616666666666667,0.9133333333333333,0.7311111111111113,0.2972222222222222,8.179548316666667,8.837187499999999,11.61507425,12.711868620000002,1.2466733335690796,1.1235263864111762,196.817241,96379
BALANCED,360,53.727777777777774,54.0,0,0,0.9744444444444446,0.9433333333333334,0.9997222222222222,0.9833333333333333,11.610983030555555,11.533784,12.43942275,12.854832150000002,0.9552013458896056,1.0490713807439338,277.218122,122308
HIGH_RECALL,360,59.32222222222222,59.0,0,0,0.9744444444444446,0.9433333333333334,1.0,1.0,11.773574955555553,11.673012,12.54606465,13.253491280000011,0.9438083332733659,1.040154244701744,296.293203,19314
