query_id,node_id,modality,code_op3_simhash128,code_struct_simhash128,code_context_simhash128,code_method_count,code_instruction_count,code_major_version,structured_simhash128,structured_token_count,structured_parse_kind,image_ahash64,image_dhash64,image_phash64,image_hist16,image_width,image_height,image_frames
Q6K00001,Q6K00001_N01,IMAGE,,,,,,,,,,ce8e0e0eee460e0e,6383c363736363a3,13ff1be0e290c1e3,"0,0,0,0,0,898,2461,1172,1445,2109,0,1211,703,0,0,0",16,16,1
Q6K00001,Q6K00001_N02,STRUCTURED,,,,,,,1b03c1d7dea6b95bfe831e0f8a286ba2,29,JSON,,,,,,,
Q6K00001,Q6K00001_N03,CODE_BINARY,0dc5e5cf244a659ac02edbc84b112b60,53928dda439fb740aac4d000d6a22c09,8234c4c016c34fb75b20d827f8121d99,8,52,65,,,,,,,,,,
Q6K00001,Q6K00001_N04,CODE_BINARY,4f7f9e412024c8255c7dc8cc87ccbd7a,75828d9b479bf56128c6493097ba15ab,707ec69d4d61203e9d8ccf4e3a7f4f75,11,148,65,,,,,,,,,,
Q6K00001,Q6K00001_N05,CODE_BINARY,e9253af496869966b448433ffb161842,75ba8fdf439e5e61aac66890d7a610a1,8232d4bc446386363039f6762bb6a31b,25,549,65,,,,,,,,,,
Q6K00001,Q6K00001_N06,CODE_BINARY,cae7bdb213025a43933e8595c2879257,d39287df639edf602ec658d2f78a388d,fb3bf484336adafb480b9cfec89267da,9,88,65,,,,,,,,,,
Q6K00001,Q6K00001_N07,CODE_BINARY,ed0c8eb0c9b081067a1bed5eb2ed7d1a,bafd3f5fcae9f1daf98ec684dffdddea,6eb5d5a85e30bf99e4612a9573992c8d,1,0,65,,,,,,,,,,
Q6K00002,Q6K00002_N01,IMAGE,,,,,,,,,,e7e7e70000000000,b2b2b2332b3bcc24,27e6b30c1959a6b3,"0,0,1750,1907,2027,484,456,157,0,122,71,0,1080,207,531,1208",2114,2114,1
Q6K00002,Q6K00002_N02,CODE_BINARY,101b736205f3a62981e46defb39a3a0e,111e17de489df4e08d644381d6fab5c5,c2a7109e0cf8a4b303f28c530f36052f,2,61,69,,,,,,,,,,
Q6K00002,Q6K00002_N03,CODE_BINARY,9fe137e1ff64770629d66deecbf34aea,759a83cf439f7768aac658a0d7a615af,42bf741c4e38aca73a3acdd73b762dd1,9,200,69,,,,,,,,,,
Q6K00002,Q6K00002_N04,CODE_BINARY,9095c122e2577e74aadde94d937d3a68,5393ccce6193be40aec660a2fe8a05af,9b5ef0cc24c55a3a78292d9a538c6258,7,26,69,,,,,,,,,,
Q6K00002,Q6K00002_N05,STRUCTURED,,,,,,,8f4fb7365f30751b7fcf5edb99ab6de6,14,JSON,,,,,,,
Q6K00002,Q6K00002_N06,CODE_BINARY,75ece57a8a54c87b0b6be8560ae943ca,5793c7fb679d37318ec679029792708d,423ff4cccd5037763a285c8b3cb20538,5,85,69,,,,,,,,,,
