method,modality,components,unique_correct_rate,true_in_candidate_rate,ambiguous_true_rate,wrong_rate,no_match_rate,mean_candidate_count
BASENAME,ALL,23324,0.8239152803978734,0.9390756302521008,0.1151603498542274,0.008960727148002058,0.0519636425998971,1.782069970845481
BASENAME,CODE_BINARY,20575,0.8718833535844471,0.9385662211421628,0.06668286755771567,0.008213851761846901,0.05321992709599028,1.2296962332928312
BASENAME,IMAGE,821,0.7904993909866017,0.902557856272838,0.1120584652862363,0.001218026796589525,0.09622411693057248,2.7807551766138854
BASENAME,STRUCTURED,1928,0.3262448132780083,0.9600622406639004,0.6338174273858921,0.020228215767634856,0.01970954356846473,7.251556016597511
FULL_PATH,ALL,23324,0.9054193105813754,0.9112073400788887,0.005788029497513291,8.574858514834505e-05,0.08870691133596295,1.0363145258103241
FULL_PATH,CODE_BINARY,20575,0.9089671931956258,0.9089671931956258,0.0,0.0,0.09103280680437424,0.9089671931956258
FULL_PATH,IMAGE,821,0.8233861144945189,0.8526187576126675,0.029232643118148598,0.0,0.14738124238733252,1.0572472594397078
FULL_PATH,STRUCTURED,1928,0.9024896265560166,0.9600622406639004,0.057572614107883814,0.001037344398340249,0.03890041493775934,2.3864107883817427
OUTER_CLASS_NAME,ALL,23324,0.8237437832275768,0.9483364774481221,0.12459269422054536,0.009046475733150403,0.042617046818727494,1.8068084376607787
OUTER_CLASS_NAME,CODE_BINARY,20575,0.871688942891859,0.9490643985419198,0.07737545565006075,0.008311057108140948,0.042624544349939245,1.2577399756986634
OUTER_CLASS_NAME,IMAGE,821,0.7904993909866017,0.902557856272838,0.1120584652862363,0.001218026796589525,0.09622411693057248,2.7807551766138854
OUTER_CLASS_NAME,STRUCTURED,1928,0.3262448132780083,0.9600622406639004,0.6338174273858921,0.020228215767634856,0.01970954356846473,7.251556016597511
SHA256,ALL,23324,0.40271823014920255,0.40271823014920255,0.0,0.0,0.5972817698507975,0.40271823014920255
SHA256,CODE_BINARY,20575,0.3644714459295261,0.3644714459295261,0.0,0.0,0.6355285540704739,0.3644714459295261
SHA256,IMAGE,821,0.8915956151035322,0.8915956151035322,0.0,0.0,0.10840438489646773,0.8915956151035322
SHA256,STRUCTURED,1928,0.6026970954356846,0.6026970954356846,0.0,0.0,0.39730290456431533,0.6026970954356846
SHA_OR_PATH,ALL,23324,0.9086348825244384,0.9144229120219516,0.005788029497513291,8.574858514834505e-05,0.08549133939290002,1.039530097753387
SHA_OR_PATH,CODE_BINARY,20575,0.9089671931956258,0.9089671931956258,0.0,0.0,0.09103280680437424,0.9089671931956258
SHA_OR_PATH,IMAGE,821,0.8928136419001218,0.9220462850182704,0.029232643118148598,0.0,0.0779537149817296,1.1266747868453106
SHA_OR_PATH,STRUCTURED,1928,0.9118257261410788,0.9693983402489627,0.057572614107883814,0.001037344398340249,0.029564315352697094,2.395746887966805
