representation,condition,method,queries,component_accuracy,parent_precision,parent_recall,parent_f1,parent_set_exact,component_set_exact
OPCODE_3GRAM,BRIDGE,B1_INDEPENDENT,150,0.24740740740740738,0.27757936507936504,0.5688888888888889,0.37049350649350643,0.0,0.0
OPCODE_3GRAM,BRIDGE,B2_EXACT_GLOBAL,150,0.3062962962962963,0.4266666666666667,0.4266666666666667,0.4266666666666667,0.08666666666666667,0.04666666666666667
OPCODE_3GRAM,BRIDGE,B3_HARD_COMPONENT,150,0.25777777777777783,0.6133333333333333,0.25777777777777783,0.36,0.0,0.0
OPCODE_3GRAM,BRIDGE,B4_SOFT_GRAPH,150,0.23888888888888885,0.3917777777777778,0.33444444444444443,0.34036507936507937,0.013333333333333334,0.013333333333333334
OPCODE_3GRAM,CLEAN,B1_INDEPENDENT,150,0.24740740740740738,0.27757936507936504,0.5688888888888889,0.37049350649350643,0.0,0.0
OPCODE_3GRAM,CLEAN,B2_EXACT_GLOBAL,150,0.3062962962962963,0.4266666666666667,0.4266666666666667,0.4266666666666667,0.08666666666666667,0.04666666666666667
OPCODE_3GRAM,CLEAN,B3_HARD_COMPONENT,150,0.44,0.47,0.45666666666666667,0.4620000000000001,0.12,0.12
OPCODE_3GRAM,CLEAN,B4_SOFT_GRAPH,150,0.24296296296296296,0.3765555555555556,0.34888888888888886,0.3402222222222222,0.013333333333333334,0.013333333333333334
OPCODE_3GRAM,DROP30,B1_INDEPENDENT,150,0.24740740740740738,0.27757936507936504,0.5688888888888889,0.37049350649350643,0.0,0.0
OPCODE_3GRAM,DROP30,B2_EXACT_GLOBAL,150,0.3062962962962963,0.4266666666666667,0.4266666666666667,0.4266666666666667,0.08666666666666667,0.04666666666666667
OPCODE_3GRAM,DROP30,B3_HARD_COMPONENT,150,0.36148148148148146,0.3583333333333333,0.4955555555555555,0.4102804232804233,0.013333333333333334,0.013333333333333334
OPCODE_3GRAM,DROP30,B4_SOFT_GRAPH,150,0.21888888888888886,0.2802222222222222,0.37666666666666665,0.310973544973545,0.0,0.0
OPCODE_3GRAM,DROP30_BRIDGE,B1_INDEPENDENT,150,0.24740740740740738,0.27757936507936504,0.5688888888888889,0.37049350649350643,0.0,0.0
OPCODE_3GRAM,DROP30_BRIDGE,B2_EXACT_GLOBAL,150,0.3062962962962963,0.4266666666666667,0.4266666666666667,0.4266666666666667,0.08666666666666667,0.04666666666666667
OPCODE_3GRAM,DROP30_BRIDGE,B3_HARD_COMPONENT,150,0.2785185185185185,0.4177777777777778,0.4033333333333333,0.3983492063492064,0.02,0.0
OPCODE_3GRAM,DROP30_BRIDGE,B4_SOFT_GRAPH,150,0.2211111111111111,0.3163333333333333,0.37888888888888883,0.33020105820105816,0.013333333333333334,0.013333333333333334
