modality,threshold,components,true_unknown,true_known,macro_f1,unknown_precision,unknown_recall,unknown_f1,known_f1,accuracy
CODE_BINARY,0.0,900,548,352,0.6996768452603972,0.7259887005649718,0.9379562043795621,0.8184713375796179,0.5808823529411764,0.7466666666666667
CODE_BINARY,0.0013020833721384,900,548,352,0.6996768452603972,0.7259887005649718,0.9379562043795621,0.8184713375796179,0.5808823529411764,0.7466666666666667
CODE_BINARY,0.0026041667442768,900,548,352,0.7093818181818181,0.7321937321937322,0.9379562043795621,0.8224,0.5963636363636363,0.7533333333333333
CODE_BINARY,0.00390625011641525,900,548,352,0.7093818181818181,0.7321937321937322,0.9379562043795621,0.8224,0.5963636363636363,0.7533333333333333
CODE_BINARY,0.0052083334885537,900,548,352,0.7157691616783817,0.7363896848137536,0.9379562043795621,0.8250401284109149,0.6064981949458483,0.7577777777777778
CODE_BINARY,0.00651041674427685,900,548,352,0.7157691616783817,0.7363896848137536,0.9379562043795621,0.8250401284109149,0.6064981949458483,0.7577777777777778
CODE_BINARY,0.0078125,900,548,352,0.7173559101269944,0.7374461979913917,0.9379562043795621,0.8257028112449799,0.609009009009009,0.7588888888888888
CODE_BINARY,0.0104166665114462,900,548,352,0.7173559101269944,0.7374461979913917,0.9379562043795621,0.8257028112449799,0.609009009009009,0.7588888888888888
CODE_BINARY,0.0130208330228924,900,548,352,0.7267936450389093,0.743849493487699,0.9379562043795621,0.8297013720742535,0.6238859180035651,0.7655555555555555
CODE_BINARY,0.0143229165114462,900,548,352,0.7267936450389093,0.743849493487699,0.9379562043795621,0.8297013720742535,0.6238859180035651,0.7655555555555555
CODE_BINARY,0.015625,900,548,352,0.730944013182456,0.7474452554744525,0.9343065693430657,0.8304947283049473,0.6313932980599648,0.7677777777777778
CODE_BINARY,0.01692708302289245,900,548,352,0.730944013182456,0.7474452554744525,0.9343065693430657,0.8304947283049473,0.6313932980599648,0.7677777777777778
CODE_BINARY,0.0182291660457849,900,548,352,0.7360538484316985,0.7514705882352941,0.9324817518248175,0.8322475570032573,0.6398601398601399,0.7711111111111111
CODE_BINARY,0.01953124999999995,900,548,352,0.7360538484316985,0.7514705882352941,0.9324817518248175,0.8322475570032573,0.6398601398601399,0.7711111111111111
CODE_BINARY,0.020833333954215,900,548,352,0.7421364379084968,0.7559171597633136,0.9324817518248175,0.834967320261438,0.6493055555555556,0.7755555555555556
CODE_BINARY,0.0221354169771075,900,548,352,0.7421364379084968,0.7559171597633136,0.9324817518248175,0.834967320261438,0.6493055555555556,0.7755555555555556
CODE_BINARY,0.0234375,900,548,352,0.7436482440117278,0.7570370370370371,0.9324817518248175,0.8356500408830744,0.6516464471403812,0.7766666666666666
CODE_BINARY,0.02473958302289245,900,548,352,0.7436482440117278,0.7570370370370371,0.9324817518248175,0.8356500408830744,0.6516464471403812,0.7766666666666666
CODE_BINARY,0.0260416660457849,900,548,352,0.7451565588206979,0.7581602373887241,0.9324817518248175,0.8363338788870703,0.6539792387543253,0.7777777777777778
CODE_BINARY,0.02734374999999995,900,548,352,0.7451565588206979,0.7581602373887241,0.9324817518248175,0.8363338788870703,0.6539792387543253,0.7777777777777778
CODE_BINARY,0.028645833954215,900,548,352,0.7475726239621374,0.7608370702541106,0.9288321167883211,0.8364831552999179,0.6586620926243568,0.7788888888888889
CODE_BINARY,0.0299479169771075,900,548,352,0.7475726239621374,0.7608370702541106,0.9288321167883211,0.8364831552999179,0.6586620926243568,0.7788888888888889
CODE_BINARY,0.03125,900,548,352,0.7520396286779383,0.7642642642642643,0.9288321167883211,0.8385502471169688,0.6655290102389079,0.7822222222222223
CODE_BINARY,0.03255208395421505,900,548,352,0.7520396286779383,0.7642642642642643,0.9288321167883211,0.8385502471169688,0.6655290102389079,0.7822222222222223
CODE_BINARY,0.0338541679084301,900,548,352,0.7514296649698085,0.7647058823529411,0.9251824817518248,0.8373245251857968,0.66553480475382,0.7811111111111111
CODE_BINARY,0.03515625,900,548,352,0.7514296649698085,0.7647058823529411,0.9251824817518248,0.8373245251857968,0.66553480475382,0.7811111111111111
CODE_BINARY,0.0364583320915699,900,548,352,0.7531297384679005,0.76793893129771,0.9178832116788321,0.8362427265170408,0.6700167504187604,0.7811111111111111
CODE_BINARY,0.03776041604578495,900,548,352,0.7531297384679005,0.76793893129771,0.9178832116788321,0.8362427265170408,0.6700167504187604,0.7811111111111111
CODE_BINARY,0.0390625,900,548,352,0.7575000000000001,0.7714723926380368,0.9178832116788321,0.8383333333333334,0.6766666666666666,0.7844444444444445
CODE_BINARY,0.04036458395421505,900,548,352,0.7575000000000001,0.7714723926380368,0.9178832116788321,0.8383333333333334,0.6766666666666666,0.7844444444444445
CODE_BINARY,0.0416666679084301,900,548,352,0.7576472310333067,0.7736434108527132,0.9105839416058394,0.8365465213746857,0.6787479406919276,0.7833333333333333
