concurrency,requests,success_count,failure_count,success_rate,wall_seconds,throughput_requests_per_second,client_mean_ms,client_p50_ms,client_p95_ms,client_p99_ms,search_mean_ms,search_p50_ms,search_p95_ms,search_p99_ms,reconstruction_mean_ms,reconstruction_p50_ms,reconstruction_p95_ms,server_total_mean_ms,server_total_p50_ms,server_total_p95_ms,server_total_p99_ms
1,300,300,0,1.0,7.295503299999837,41.121220519495445,24.212820333333333,23.4863,37.62767500000001,46.25461499999997,12.66838,11.4926,19.681935000000003,26.684777999999998,1.2805983333333335,1.0877,2.1557450000000005,13.959273333333334,12.5789,22.30536500000001,29.247334999999996
4,300,300,0,1.0,2.3452011000008497,127.9207996277553,31.098957999999996,28.52385,48.486810000000006,63.41936899999999,22.005495,21.1466,28.785955,50.45640599999999,1.1036463333333333,1.07755,1.3627550000000002,23.116899,22.157899999999998,30.060605000000002,51.805920999999984
8,300,300,0,1.0,2.4580124000021897,122.04983180708639,65.02514033333333,59.920649999999995,96.619265,127.126217,49.881277999999995,46.1934,78.15810000000002,104.54358799999997,1.1777246666666665,1.1295,1.563015,51.067736000000004,47.25175,79.89534499999999,105.65196999999998
16,300,300,0,1.0,2.4592497999983607,121.98842102180916,129.37230233333332,127.06305,175.55037000000002,195.10147099999998,88.71567166666668,87.90674999999999,117.776885,140.12002799999996,1.245941,1.1372,1.5030950000000003,89.96999733333332,89.29310000000001,118.946375,141.18816599999997
32,300,300,0,1.0,2.444563400000334,122.72130066250645,251.7110116666667,250.4758,316.509585,331.861229,92.567809,88.49109999999999,132.63638,151.88392299999995,1.1760320000000002,1.1243,1.455675,93.75203733333333,89.60595,133.86713500000002,153.77991699999998
