concurrency,requests,success_count,failure_count,success_rate,wall_seconds,throughput_requests_per_second,client_latency_mean_ms,client_latency_p50_ms,client_latency_p95_ms,client_latency_p99_ms,client_latency_max_ms,server_internal_mean_ms,server_internal_p50_ms,server_internal_p95_ms,server_internal_p99_ms,rss_before_bytes,rss_after_bytes,rss_delta_bytes
1,1000,1000,0,1.0,21.978643499998725,45.49871333051369,21.854924500000003,15.954999999999998,37.073575,43.45657199999999,50.0471,0.9870756,0.95025,1.2023449999999998,1.596487999999999,111656960,110841856,-815104
4,1000,1000,0,1.0,12.007483900000807,83.28139419782464,47.85691190000001,45.97055,65.61602500000001,74.37706399999999,83.7935,0.9602805,0.93225,1.1646349999999999,1.4308189999999998,110841856,114298880,3457024
8,1000,1000,0,1.0,11.676087399999233,85.64512800752637,93.07633600000001,91.6639,112.53459,120.645265,144.6451,0.9466954000000001,0.92255,1.1048499999999999,1.2937749999999997,114298880,114073600,-225280
16,1000,1000,0,1.0,11.599845799999457,86.20804252415552,184.4827559,183.42455,205.14047499999998,211.103138,216.0951,0.9436694999999999,0.9238500000000001,1.10063,1.267217,114073600,112889856,-1183744
32,1000,1000,0,1.0,11.7297264000008,85.25348042218033,370.1151422,373.83725000000004,402.583735,437.00971699999997,446.6359,0.9470258,0.9271,1.114805,1.2830339999999993,112889856,113520640,630784
