fresh_id,frozen_split,version_id,version_number,jar_filename,code_nodes,class_ref_edges,connected_components,largest_component_size,largest_component_rate,hard_code_nodes,strict_code_nodes,max_hard_in_one_component,max_strict_in_one_component,hard_coverage_by_best_component,strict_coverage_by_best_component,best_hard_component_size,best_hard_connector_count,eligible_hard_h3,eligible_hard_h5,eligible_hard_h10,eligible_strict_h3,eligible_strict_h5
FMOD0067,TEST_KNOWN,Uzn5pkvu,1.3.4,better-shulker-boxes-fabric-1.3.4.jar,41,120,1,41,1.0,35,4,35,4,1.0,1.0,41,6,True,True,True,True,False
FMOD0067,TEST_KNOWN,z1BMoMX0,1.3.2,better-shulker-boxes-fabric-1.3.2.jar,41,120,1,41,1.0,35,4,35,4,1.0,1.0,41,6,True,True,True,True,False
FMOD0068,UNKNOWN_HELDOUT,r2rx49IK,2.0.0.11,CloudSettings-1.21.11-2.0.0.11-fabric.jar,14,13,3,12,0.8571428571428571,14,1,12,1,0.8571428571428571,1.0,12,0,True,True,True,False,False
FMOD0068,UNKNOWN_HELDOUT,Gvx8aW98,2.0.0.10,CloudSettings-1.21.9-2.0.0.10-fabric.jar,14,13,3,12,0.8571428571428571,14,1,12,1,0.8571428571428571,1.0,12,0,True,True,True,False,False
FMOD0068,UNKNOWN_HELDOUT,gmojFcs2,2.0.0.9,CloudSettings-1.21-2.0.0.9-fabric.jar,14,13,3,12,0.8571428571428571,14,1,12,1,0.8571428571428571,1.0,12,0,True,True,True,False,False
FMOD0069,TEST_KNOWN,8dnTaFp8,1.3.1+1.21.8,mcedia_core-1.3.1+1.21.8.windows-x86_64+build20260810131029.jar,2697,8032,77,2588,0.9595847237671487,2697,0,2588,0,0.9595847237671487,0.0,2588,0,True,True,True,False,False
FMOD0069,TEST_KNOWN,qZ3pEucc,1.3.1+1.21.11,mcedia_core-1.3.1+1.21.11.windows-x86_64+build20260810131027.jar,2697,8036,74,2591,0.960697070819429,2697,0,2591,0,0.960697070819429,0.0,2591,0,True,True,True,False,False
FMOD0069,TEST_KNOWN,td94fRJq,1.3.1+26.1,mcedia_core-1.3.1+26.1.windows-x86_64+build20260810131009.jar,2697,8056,73,2592,0.9610678531701891,7,0,6,0,0.8571428571428571,0.0,2592,2586,True,True,False,False,False
FMOD0070,UNKNOWN_HELDOUT,tOvw9ccm,0.5.6,creategoggles-1.20.1-0.5.6-[FABRIC].jar,48,118,4,45,0.9375,20,3,18,2,0.9,0.6666666666666666,45,27,True,True,True,False,False
FMOD0070,UNKNOWN_HELDOUT,bRPyzlie,0.5.5.h,creategoggles-1.20.1-0.5.5.h-[FABRIC].jar,48,114,5,44,0.9166666666666666,22,3,19,2,0.8636363636363636,0.6666666666666666,44,25,True,True,True,False,False
FMOD0070,UNKNOWN_HELDOUT,ruyz085C,0.5.5.g,creategoggles-1.20.1-0.5.5.g-[FABRIC].jar,46,110,5,42,0.9130434782608695,26,3,23,2,0.8846153846153846,0.6666666666666666,42,19,True,True,True,False,False
FMOD0071,CALIBRATION_KNOWN,7EaSG4mE,1.0.3.1,pickup-me-1.0.3.1-1.19.4.jar,5,0,5,1,0.2,0,0,0,0,0.0,0.0,0,0,False,False,False,False,False
FMOD0071,CALIBRATION_KNOWN,HM6UF0iL,1.0.3.1,pickup-me-1.0.3.1-pre-1.19.4.jar,5,0,5,1,0.2,3,1,1,1,0.3333333333333333,1.0,1,0,False,False,False,False,False
FMOD0071,CALIBRATION_KNOWN,q2IFTRGb,1.0.3,pickup-me-1.0.3-1.20.jar,5,0,5,1,0.2,1,0,1,0,1.0,0.0,1,0,False,False,False,False,False
FMOD0072,CALIBRATION_KNOWN,EDBonRDJ,1.1.2,paradise_bounty-1.1.2.jar,11,12,2,10,0.9090909090909091,5,0,5,0,1.0,0.0,10,5,True,True,False,False,False
FMOD0072,CALIBRATION_KNOWN,AbHyoumV,1.0.1,paradise_bounty-1.0.1+1.21.1.jar,11,12,2,10,0.9090909090909091,5,0,5,0,1.0,0.0,10,5,True,True,False,False,False
FMOD0072,CALIBRATION_KNOWN,9WFyFDVA,1.0.0,paradise-bounty-1.0.0.jar,10,11,2,9,0.9,10,10,9,9,0.9,0.9,9,0,True,True,False,True,True
FMOD0073,TEST_KNOWN,C9fatQMw,1.0.0+26.1.2,simpledamagetint-1.0.0+26.1.2.jar,16,23,2,15,0.9375,0,0,0,0,0.0,0.0,0,0,False,False,False,False,False
FMOD0073,TEST_KNOWN,GdUw0AIa,1.0.0+26.1.1,simpledamagetint-1.0.0+26.1.1.jar,16,23,2,15,0.9375,0,0,0,0,0.0,0.0,0,0,False,False,False,False,False
FMOD0073,TEST_KNOWN,fJjAhlFi,1.0.0+26.1,simpledamagetint-1.0.0+26.1.jar,16,23,2,15,0.9375,0,0,0,0,0.0,0.0,0,0,False,False,False,False,False
FMOD0074,TEST_KNOWN,TqRTknCU,26.1-1.11.2,DurabilityViewer-26.1-1.11.2.jar,23,52,1,23,1.0,4,1,4,1,1.0,1.0,23,19,True,False,False,False,False
FMOD0074,TEST_KNOWN,scO6R6xa,1.21.11-1.11.2,DurabilityViewer-1.21.11-1.11.2.jar,23,50,1,23,1.0,23,1,23,1,1.0,1.0,23,0,True,True,True,False,False
FMOD0074,TEST_KNOWN,9MFcIvHy,1.21.11-1.11.1,DurabilityViewer-1.21.11-1.11.1.jar,22,48,1,22,1.0,22,1,22,1,1.0,1.0,22,0,True,True,True,False,False
FMOD0076,TEST_KNOWN,haH2QIHL,2.1.1.7,pvpsys 2.1.1.7 1.21.11.jar,3,2,1,3,1.0,0,0,0,0,0.0,0.0,0,0,False,False,False,False,False
FMOD0076,TEST_KNOWN,9xs3Qhxq,2.1.1.6,PvpSys 2.1.1.6.jar,3,2,1,3,1.0,2,0,2,0,1.0,0.0,3,1,False,False,False,False,False
FMOD0076,TEST_KNOWN,JJqYu8yt,2.1.1.5,PvpSys 2.1.1.5.jar,3,2,1,3,1.0,2,0,2,0,1.0,0.0,3,1,False,False,False,False,False
FMOD0077,TEST_KNOWN,n4xzuN3I,3.102.6+26.1.2,chatnotify-fabric-3.102.6+26.1.2.jar,178,842,3,175,0.9831460674157303,14,2,14,2,1.0,1.0,175,161,True,True,True,False,False
FMOD0077,TEST_KNOWN,DGdWTqZw,3.103.0+26.2,chatnotify-fabric-3.103.0+26.2.jar,177,841,3,174,0.9830508474576272,7,0,7,0,1.0,0.0,174,167,True,True,False,False,False
FMOD0077,TEST_KNOWN,2jiVKsYB,3.102.5+26.1.2,chatnotify-fabric-3.102.5+26.1.2.jar,177,841,3,174,0.9830508474576272,20,2,20,2,1.0,1.0,174,154,True,True,True,False,False
FMOD0078,CALIBRATION_KNOWN,bEcv2pxe,4.0.1+26.1,exoscanner-4.0.1+26.1.jar,102,365,1,102,1.0,5,0,5,0,1.0,0.0,102,97,True,True,False,False,False
FMOD0078,CALIBRATION_KNOWN,UaaVQ8p6,4.0.0+26.1,exoscanner-4.0.0+26.1.jar,102,365,1,102,1.0,5,0,5,0,1.0,0.0,102,97,True,True,False,False,False
FMOD0078,CALIBRATION_KNOWN,VB7J478c,4.0.0+1.21.11,exoscanner-4.0.0+1.21.11.jar,102,366,1,102,1.0,102,0,102,0,1.0,0.0,102,0,True,True,True,False,False
FMOD0079,TEST_KNOWN,vNEaHOJc,2.1.3+mc1.21,bodacious_berries-2.1.3+mc1.21.jar,316,1097,4,313,0.990506329113924,9,0,9,0,1.0,0.0,313,304,True,True,False,False,False
FMOD0079,TEST_KNOWN,IBOfRJPO,2.1.2+mc1.21,bodacious_berries-2.1.2+mc1.21.jar,220,701,2,219,0.9954545454545455,121,9,121,9,1.0,1.0,219,98,True,True,True,True,True
FMOD0079,TEST_KNOWN,EgoQu3dI,2.1.1+mc1.20.2,bodacious_berries-2.1.1+mc1.20.2.jar,218,696,2,217,0.9954128440366973,176,9,176,9,1.0,1.0,217,41,True,True,True,True,True
FMOD0080,TEST_KNOWN,s61JgSiL,2.2.4+mc26.1.2,crystal-tweaks-26.1.2-2.2.4.jar,24,32,2,22,0.9166666666666666,1,0,1,0,1.0,0.0,22,21,False,False,False,False,False
FMOD0080,TEST_KNOWN,bOwM5U9E,2.2.4+mc26.1.1,crystal-tweaks-26.1.1-2.2.4.jar,24,32,2,22,0.9166666666666666,1,0,1,0,1.0,0.0,22,21,False,False,False,False,False
FMOD0080,TEST_KNOWN,FDKNUaDp,2.2.4+mc26.1,crystal-tweaks-26.1-2.2.4.jar,24,32,2,22,0.9166666666666666,1,0,1,0,1.0,0.0,22,21,False,False,False,False,False
FMOD0081,CALIBRATION_KNOWN,Ll0d0AwJ,1.0.0,echoesofantiquity-1.0.0.jar,125,280,2,124,0.992,5,0,5,0,1.0,0.0,124,119,True,True,False,False,False
FMOD0081,CALIBRATION_KNOWN,tpzpnxVa,0.2.0,echoesofantiquity-0.2.0.jar,103,210,3,101,0.9805825242718447,65,4,63,2,0.9692307692307692,0.5,101,38,True,True,True,False,False
FMOD0081,CALIBRATION_KNOWN,Uitrnhgs,0.1.0,echoesofantiquity-0.1.0.jar,67,138,4,64,0.9552238805970149,55,8,52,6,0.9454545454545454,0.75,64,12,True,True,True,True,True
