alpha,lambda,mean_parent_set_f1,mean_k_accuracy,mean_component_accuracy,known_component_accuracy,known_parent_set_f1,known_parent_set_exact,known_k_accuracy,known_k_mae,known_false_unknown_rate,pseudo_component_accuracy,pseudo_parent_set_f1,pseudo_parent_set_exact,pseudo_k_accuracy,pseudo_k_mae,pseudo_unknown_precision,pseudo_unknown_recall,pseudo_unknown_f1,pseudo_unknown_known_macro_f1
0.0,0.0,0.8025793650793651,0.41388888888888886,0.780952380952381,0.7412698412698413,0.7574338624338626,0.17777777777777778,0.2833333333333333,0.85,0.21428571428571427,0.8206349206349206,0.8477248677248677,0.4888888888888889,0.5444444444444444,0.5666666666666667,0.8735483870967742,0.8657289002557544,0.8696210661528581,0.8294107407607488
0.0,0.05,0.8080158730158731,0.42777777777777776,0.7841269841269841,0.746031746031746,0.7629629629629631,0.17777777777777778,0.28888888888888886,0.8055555555555556,0.21428571428571427,0.8222222222222222,0.853068783068783,0.5055555555555555,0.5666666666666667,0.5333333333333333,0.8735483870967742,0.8657289002557544,0.8696210661528581,0.8294107407607488
0.0,0.1,0.8103174603174604,0.4305555555555555,0.7841269841269841,0.746031746031746,0.7637037037037039,0.17777777777777778,0.2833333333333333,0.8111111111111111,0.21428571428571427,0.8222222222222222,0.856931216931217,0.5166666666666667,0.5777777777777777,0.5055555555555555,0.8735483870967742,0.8657289002557544,0.8696210661528581,0.8294107407607488
0.0,0.15,0.8105952380952381,0.4305555555555555,0.7841269841269841,0.746031746031746,0.7637037037037039,0.17777777777777778,0.2833333333333333,0.8111111111111111,0.21428571428571427,0.8222222222222222,0.8574867724867725,0.5166666666666667,0.5777777777777777,0.5,0.8735483870967742,0.8657289002557544,0.8696210661528581,0.8294107407607488
0.0,0.2,0.8105952380952381,0.4305555555555555,0.7841269841269841,0.746031746031746,0.7637037037037039,0.17777777777777778,0.2833333333333333,0.8111111111111111,0.21428571428571427,0.8222222222222222,0.8574867724867725,0.5166666666666667,0.5777777777777777,0.5,0.8735483870967742,0.8657289002557544,0.8696210661528581,0.8294107407607488
0.0,0.25,0.8105952380952381,0.4305555555555555,0.7841269841269841,0.746031746031746,0.7637037037037039,0.17777777777777778,0.2833333333333333,0.8111111111111111,0.21428571428571427,0.8222222222222222,0.8574867724867725,0.5166666666666667,0.5777777777777777,0.5,0.8735483870967742,0.8657289002557544,0.8696210661528581,0.8294107407607488
0.0,0.3,0.8105952380952381,0.4305555555555555,0.7841269841269841,0.746031746031746,0.7637037037037039,0.17777777777777778,0.2833333333333333,0.8111111111111111,0.21428571428571427,0.8222222222222222,0.8574867724867725,0.5166666666666667,0.5777777777777777,0.5,0.8735483870967742,0.8657289002557544,0.8696210661528581,0.8294107407607488
0.0,0.35,0.8105952380952381,0.4305555555555555,0.7841269841269841,0.746031746031746,0.7637037037037039,0.17777777777777778,0.2833333333333333,0.8111111111111111,0.21428571428571427,0.8222222222222222,0.8574867724867725,0.5166666666666667,0.5777777777777777,0.5,0.8735483870967742,0.8657289002557544,0.8696210661528581,0.8294107407607488
0.0,0.4,0.8105952380952381,0.4305555555555555,0.7841269841269841,0.746031746031746,0.7637037037037039,0.17777777777777778,0.2833333333333333,0.8111111111111111,0.21428571428571427,0.8222222222222222,0.8574867724867725,0.5166666666666667,0.5777777777777777,0.5,0.8735483870967742,0.8657289002557544,0.8696210661528581,0.8294107407607488
0.0,0.45,0.8105952380952381,0.4305555555555555,0.7841269841269841,0.746031746031746,0.7637037037037039,0.17777777777777778,0.2833333333333333,0.8111111111111111,0.21428571428571427,0.8222222222222222,0.8574867724867725,0.5166666666666667,0.5777777777777777,0.5,0.8735483870967742,0.8657289002557544,0.8696210661528581,0.8294107407607488
