query_id,k_true,true_parent_set,top3_parent_recall,top3_all_true_parents_present,top3_candidate_pool,top4_parent_recall,top4_all_true_parents_present,top4_candidate_pool,top5_parent_recall,top5_all_true_parents_present,top5_candidate_pool,top6_parent_recall,top6_all_true_parents_present,top6_candidate_pool,top8_parent_recall,top8_all_true_parents_present,top8_candidate_pool,top10_parent_recall,top10_all_true_parents_present,top10_candidate_pool
Q6K00011,1,"[""FMOD0041""]",1.0,True,"[""FMOD0041"", ""FMOD0030"", ""FMOD0029""]",1.0,True,"[""FMOD0041"", ""FMOD0030"", ""FMOD0029"", ""FMOD0082""]",1.0,True,"[""FMOD0041"", ""FMOD0030"", ""FMOD0029"", ""FMOD0082"", ""FMOD0010""]",1.0,True,"[""FMOD0041"", ""FMOD0030"", ""FMOD0029"", ""FMOD0082"", ""FMOD0010"", ""FMOD0045""]",1.0,True,"[""FMOD0041"", ""FMOD0030"", ""FMOD0029"", ""FMOD0082"", ""FMOD0010"", ""FMOD0045"", ""FMOD0020"", ""FMOD0081""]",1.0,True,"[""FMOD0041"", ""FMOD0030"", ""FMOD0029"", ""FMOD0082"", ""FMOD0010"", ""FMOD0045"", ""FMOD0020"", ""FMOD0081"", ""FMOD0114"", ""FMOD0112""]"
Q6K00012,1,"[""FMOD0045""]",1.0,True,"[""FMOD0045"", ""FMOD0030"", ""FMOD0029""]",1.0,True,"[""FMOD0045"", ""FMOD0030"", ""FMOD0029"", ""FMOD0041""]",1.0,True,"[""FMOD0045"", ""FMOD0030"", ""FMOD0029"", ""FMOD0041"", ""FMOD0010""]",1.0,True,"[""FMOD0045"", ""FMOD0030"", ""FMOD0029"", ""FMOD0041"", ""FMOD0010"", ""FMOD0065""]",1.0,True,"[""FMOD0045"", ""FMOD0030"", ""FMOD0029"", ""FMOD0041"", ""FMOD0010"", ""FMOD0065"", ""FMOD0082"", ""FMOD0056""]",1.0,True,"[""FMOD0045"", ""FMOD0030"", ""FMOD0029"", ""FMOD0041"", ""FMOD0010"", ""FMOD0065"", ""FMOD0082"", ""FMOD0056"", ""FMOD0114"", ""FMOD0112""]"
Q6K00013,1,"[""FMOD0097""]",1.0,True,"[""FMOD0097"", ""FMOD0056"", ""FMOD0117""]",1.0,True,"[""FMOD0097"", ""FMOD0056"", ""FMOD0117"", ""FMOD0114""]",1.0,True,"[""FMOD0097"", ""FMOD0056"", ""FMOD0117"", ""FMOD0114"", ""FMOD0029""]",1.0,True,"[""FMOD0097"", ""FMOD0056"", ""FMOD0117"", ""FMOD0114"", ""FMOD0029"", ""FMOD0078""]",1.0,True,"[""FMOD0097"", ""FMOD0056"", ""FMOD0117"", ""FMOD0114"", ""FMOD0029"", ""FMOD0078"", ""FMOD0065"", ""FMOD0112""]",1.0,True,"[""FMOD0097"", ""FMOD0056"", ""FMOD0117"", ""FMOD0114"", ""FMOD0029"", ""FMOD0078"", ""FMOD0065"", ""FMOD0112"", ""FMOD0081"", ""FMOD0026""]"
Q6K00014,1,"[""FMOD0081""]",1.0,True,"[""FMOD0081"", ""FMOD0029"", ""FMOD0020""]",1.0,True,"[""FMOD0081"", ""FMOD0029"", ""FMOD0020"", ""FMOD0030""]",1.0,True,"[""FMOD0081"", ""FMOD0029"", ""FMOD0020"", ""FMOD0030"", ""FMOD0082""]",1.0,True,"[""FMOD0081"", ""FMOD0029"", ""FMOD0020"", ""FMOD0030"", ""FMOD0082"", ""FMOD0112""]",1.0,True,"[""FMOD0081"", ""FMOD0029"", ""FMOD0020"", ""FMOD0030"", ""FMOD0082"", ""FMOD0112"", ""FMOD0056"", ""FMOD0114""]",1.0,True,"[""FMOD0081"", ""FMOD0029"", ""FMOD0020"", ""FMOD0030"", ""FMOD0082"", ""FMOD0112"", ""FMOD0056"", ""FMOD0114"", ""FMOD0041"", ""FMOD0097""]"
Q6K00015,1,"[""FMOD0039""]",1.0,True,"[""FMOD0039"", ""FMOD0065"", ""FMOD0082""]",1.0,True,"[""FMOD0039"", ""FMOD0065"", ""FMOD0082"", ""FMOD0034""]",1.0,True,"[""FMOD0039"", ""FMOD0065"", ""FMOD0082"", ""FMOD0034"", ""FMOD0081""]",1.0,True,"[""FMOD0039"", ""FMOD0065"", ""FMOD0082"", ""FMOD0034"", ""FMOD0081"", ""FMOD0063""]",1.0,True,"[""FMOD0039"", ""FMOD0065"", ""FMOD0082"", ""FMOD0034"", ""FMOD0081"", ""FMOD0063"", ""FMOD0029"", ""FMOD0114""]",1.0,True,"[""FMOD0039"", ""FMOD0065"", ""FMOD0082"", ""FMOD0034"", ""FMOD0081"", ""FMOD0063"", ""FMOD0029"", ""FMOD0114"", ""FMOD0058"", ""FMOD0030""]"
Q6K00016,1,"[""FMOD0041""]",1.0,True,"[""FMOD0041"", ""FMOD0029"", ""FMOD0030""]",1.0,True,"[""FMOD0041"", ""FMOD0029"", ""FMOD0030"", ""FMOD0010""]",1.0,True,"[""FMOD0041"", ""FMOD0029"", ""FMOD0030"", ""FMOD0010"", ""FMOD0020""]",1.0,True,"[""FMOD0041"", ""FMOD0029"", ""FMOD0030"", ""FMOD0010"", ""FMOD0020"", ""FMOD0082""]",1.0,True,"[""FMOD0041"", ""FMOD0029"", ""FMOD0030"", ""FMOD0010"", ""FMOD0020"", ""FMOD0082"", ""FMOD0056"", ""FMOD0114""]",1.0,True,"[""FMOD0041"", ""FMOD0029"", ""FMOD0030"", ""FMOD0010"", ""FMOD0020"", ""FMOD0082"", ""FMOD0056"", ""FMOD0114"", ""FMOD0078"", ""FMOD0081""]"
Q6K00017,1,"[""FMOD0034""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082"", ""FMOD0081""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082"", ""FMOD0081"", ""FMOD0065""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082"", ""FMOD0081"", ""FMOD0065"", ""FMOD0029""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082"", ""FMOD0081"", ""FMOD0065"", ""FMOD0029"", ""FMOD0030"", ""FMOD0114""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082"", ""FMOD0081"", ""FMOD0065"", ""FMOD0029"", ""FMOD0030"", ""FMOD0114"", ""FMOD0020"", ""FMOD0041""]"
Q6K00018,1,"[""FMOD0082""]",1.0,True,"[""FMOD0082"", ""FMOD0029"", ""FMOD0056""]",1.0,True,"[""FMOD0082"", ""FMOD0029"", ""FMOD0056"", ""FMOD0039""]",1.0,True,"[""FMOD0082"", ""FMOD0029"", ""FMOD0056"", ""FMOD0039"", ""FMOD0081""]",1.0,True,"[""FMOD0082"", ""FMOD0029"", ""FMOD0056"", ""FMOD0039"", ""FMOD0081"", ""FMOD0065""]",1.0,True,"[""FMOD0082"", ""FMOD0029"", ""FMOD0056"", ""FMOD0039"", ""FMOD0081"", ""FMOD0065"", ""FMOD0114"", ""FMOD0034""]",1.0,True,"[""FMOD0082"", ""FMOD0029"", ""FMOD0056"", ""FMOD0039"", ""FMOD0081"", ""FMOD0065"", ""FMOD0114"", ""FMOD0034"", ""FMOD0010"", ""FMOD0030""]"
Q6K00019,1,"[""FMOD0030""]",1.0,True,"[""FMOD0030"", ""FMOD0041"", ""FMOD0029""]",1.0,True,"[""FMOD0030"", ""FMOD0041"", ""FMOD0029"", ""FMOD0082""]",1.0,True,"[""FMOD0030"", ""FMOD0041"", ""FMOD0029"", ""FMOD0082"", ""FMOD0081""]",1.0,True,"[""FMOD0030"", ""FMOD0041"", ""FMOD0029"", ""FMOD0082"", ""FMOD0081"", ""FMOD0039""]",1.0,True,"[""FMOD0030"", ""FMOD0041"", ""FMOD0029"", ""FMOD0082"", ""FMOD0081"", ""FMOD0039"", ""FMOD0020"", ""FMOD0072""]",1.0,True,"[""FMOD0030"", ""FMOD0041"", ""FMOD0029"", ""FMOD0082"", ""FMOD0081"", ""FMOD0039"", ""FMOD0020"", ""FMOD0072"", ""FMOD0065"", ""FMOD0056""]"
Q6K00020,1,"[""FMOD0034""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082"", ""FMOD0059""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082"", ""FMOD0059"", ""FMOD0029""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082"", ""FMOD0059"", ""FMOD0029"", ""FMOD0081""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082"", ""FMOD0059"", ""FMOD0029"", ""FMOD0081"", ""FMOD0065"", ""FMOD0056""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082"", ""FMOD0059"", ""FMOD0029"", ""FMOD0081"", ""FMOD0065"", ""FMOD0056"", ""FMOD0030"", ""FMOD0020""]"
Q6K00021,1,"[""FMOD0034""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082"", ""FMOD0065""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082"", ""FMOD0065"", ""FMOD0030""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082"", ""FMOD0065"", ""FMOD0030"", ""FMOD0029""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082"", ""FMOD0065"", ""FMOD0030"", ""FMOD0029"", ""FMOD0081"", ""FMOD0020""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082"", ""FMOD0065"", ""FMOD0030"", ""FMOD0029"", ""FMOD0081"", ""FMOD0020"", ""FMOD0059"", ""FMOD0010""]"
