scenario,queries,unknown_parent_count,known_parent_count,component_accuracy,known_component_accuracy,unknown_precision,unknown_recall,unknown_f1,registered_known_parent_f1,registered_known_parent_exact,collapsed_parent_set_f1,collapsed_parent_set_exact,k_collapsed_accuracy,k_collapsed_mae,k_actual_source_count_mae
MU_1K2U,30,2,1,0.8047619047619048,0.7888888888888889,0.8376068376068376,0.8166666666666667,0.8270042194092827,0.85,0.5666666666666667,0.9088888888888889,0.5666666666666667,0.5666666666666667,0.4666666666666667,0.6
MU_1K3U,30,3,1,0.8714285714285714,0.8,0.9183673469387755,0.9,0.9090909090909091,0.7611111111111111,0.6,0.8688888888888889,0.6,0.6666666666666666,0.43333333333333335,1.6333333333333333
MU_2K2U,30,2,2,0.7380952380952381,0.65,0.6754385964912281,0.8555555555555555,0.7549019607843137,0.8533333333333334,0.7,0.9115873015873016,0.7,0.7666666666666667,0.26666666666666666,1.1333333333333333
MU_2K3U,30,3,2,0.8238095238095238,0.7833333333333333,0.7596153846153846,0.8777777777777778,0.8144329896907216,0.8977777777777778,0.6333333333333333,0.9311111111111111,0.6333333333333333,0.7,0.3,1.8333333333333333
MU_U2,30,2,0,0.8666666666666667,0.0,1.0,0.8666666666666667,0.9285714285714286,0.5,0.5,0.8166666666666667,0.5,0.5,0.6,0.6
MU_U3,30,3,0,0.9428571428571428,0.0,1.0,0.9428571428571428,0.9705882352941176,0.6,0.6,0.8666666666666667,0.6,0.6,0.4,1.6
