backend,queries,components,component_accuracy,unknown_precision,unknown_recall,unknown_f1,parent_set_precision,parent_set_recall,parent_set_f1,parent_set_exact,k_accuracy,k_mae
EXACT,360,2520,0.8071428571428572,0.6517509727626459,0.8897742363877822,0.7523862998315552,0.7844907407407408,0.9560185185185184,0.8435449735449735,0.41388888888888886,0.48055555555555557,0.5333333333333333
FAST,360,2520,0.8067460317460318,0.6511175898931001,0.8897742363877822,0.7519640852974186,0.7840277777777778,0.9550925925925925,0.8428042328042328,0.41388888888888886,0.4777777777777778,0.5361111111111111
BALANCED,360,2520,0.8071428571428572,0.6517509727626459,0.8897742363877822,0.7523862998315552,0.7844907407407408,0.9560185185185184,0.8435449735449735,0.41388888888888886,0.48055555555555557,0.5333333333333333
HIGH_RECALL,360,2520,0.8071428571428572,0.6517509727626459,0.8897742363877822,0.7523862998315552,0.7844907407407408,0.9560185185185184,0.8435449735449735,0.41388888888888886,0.48055555555555557,0.5333333333333333
