representation,historical_packages,mean_hard_components,median_hard_components,fractional_top1_unique,fractional_top1_true_in_tie,fractional_top3,fractional_top5,confidence_top1_unique,confidence_top1_true_in_tie,confidence_top3,confidence_top5
OPCODE_3GRAM,45,41.62222222222222,9.0,0.4444444444444444,0.5777777777777777,0.7111111111111111,0.8888888888888888,0.4666666666666667,0.6222222222222222,0.8666666666666667,0.9111111111111111
OPCODE_CONTEXT,45,41.62222222222222,9.0,0.5333333333333333,0.6888888888888889,0.8666666666666667,0.8888888888888888,0.5777777777777777,0.7555555555555555,0.9111111111111111,0.9111111111111111
OPCODE_STRUCT,45,41.62222222222222,9.0,0.4666666666666667,0.5777777777777777,0.8,0.9333333333333333,0.4888888888888889,0.6666666666666666,0.9111111111111111,0.9555555555555556
