gallery_projects,gallery_components,sequential_search_p50_ms,sequential_search_p95_ms,sequential_total_p50_ms,sequential_total_p95_ms,sequential_reconstruction_p50_ms,concurrency4_throughput_req_s,concurrency4_client_p50_ms,concurrency4_client_p95_ms,rss_after_scale_c4_bytes,search_p50_ratio_vs_20,total_p50_ratio_vs_20
20,16282,4.3530999999999995,7.481775,5.0545,8.511889999999998,0.68035,208.81646066758856,16.932949999999998,35.061174999999984,153165824,1.0,1.0
40,21694,7.89255,9.741159999999999,8.7847,10.636455,0.8466,169.73754417084228,21.4052,41.25884999999996,158380032,1.8130872251958376,1.7379958452863786
60,26329,10.878,12.256759999999998,11.9405,13.373219999999998,1.0233500000000002,134.00445444196055,24.933500000000002,46.912389999999995,155340800,2.498908823596977,2.3623503808487487
80,41903,19.7437,21.137365,20.9606,22.326009999999997,1.1999499999999999,81.78606368741927,44.095299999999995,73.184205,155197440,4.535549378603754,4.146918587397368
100,48376,21.456850000000003,23.842584999999996,22.8682,25.324914999999994,1.4228999999999998,88.11783822268623,39.897999999999996,63.46235499999999,160342016,4.929096505938298,4.524324859036502
