representation,queries,top1_unique_correct_rate,top1_true_in_tie_rate,top3_parent_recall,top5_parent_recall,top10_parent_recall,mrr_optimistic,mean_best_distance,mean_true_distance,mean_top1_margin,best_tie_rate
OPCODE_STRUCT,1873,0.3630539241857982,0.6182594767752269,0.7207688200747464,0.7746930058729311,0.8649225840896957,0.6948852654416053,17.45274959957288,21.560597971169248,14.807261078483716,0.35130806193272823
OPCODE_CONTEXT,1873,0.3593166043780032,0.6134543513080619,0.7170315002669514,0.785371062466631,0.8761345435130806,0.6933319555869348,12.893753336892685,16.816337426588362,12.515216230646022,0.3406300053390283
OPCODE_3GRAM,1873,0.35504538174052325,0.6572343833422317,0.7394554191137213,0.804057661505606,0.8937533368926855,0.7254957647809984,17.294180459156433,21.15162840363054,22.155365723438333,0.40736785904965295
