query_id,node_id,modality,code_op3_simhash128,code_struct_simhash128,code_context_simhash128,code_method_count,code_instruction_count,code_major_version,structured_simhash128,structured_token_count,structured_parse_kind,image_ahash64,image_dhash64,image_phash64,image_hist16,image_width,image_height,image_frames
Q11A0158,Q11A0158_N03,CODE_BINARY,f7b75ef1379e7cf875ea4eac207e53d8,358b87ff649f76618ac64882d79e1485,5627e62c5c20a826f0314ddd2f7a4f59,5,213,61,,,,,,,,,,
Q11A0158,Q11A0158_N04,CODE_BINARY,cbadf9f45fe66b56f5968dfcde3b84a0,939925ef709fbc338d85638096a1b084,c27fd8f90945e7f1eb1bdebed33277fd,2,44,65,,,,,,,,,,
Q11A0158,Q11A0158_N05,CODE_BINARY,dbe71e8ef5a430b366b01b5f80f7957b,778b2fee659bb4708ac46984dba6168d,0a1296c456607637713dae149b7bcf2f,3,47,65,,,,,,,,,,
Q11A0158,Q11A0158_N06,STRUCTURED,,,,,,,6fc797aa9930d4f07c36f7cfbba3c74f,19,JSON,,,,,,,
Q11A0158,Q11A0158_N07,IMAGE,,,,,,,,,,fafaf6fcfa766600,4d1d33774d133325,55ec2d8d78d216b1,"0,0,0,0,0,0,0,0,1211,0,0,3164,2148,2891,0,586",16,16,1
Q11A0159,Q11A0159_N01,CODE_BINARY,7521f4d0904df962e142717869d26820,d5ba47cf471fffe188e669a2d78b3789,7023921c6480e0a7312fcddf2b3e2355,23,1203,65,,,,,,,,,,
Q11A0159,Q11A0159_N02,CODE_BINARY,0c22fe03c4965749fe2580efb1ee8d33,579375ee619ffe008ec46188d680250d,dbbff07c8c85a2a3daf6eddf0bb4664f,6,25,69,,,,,,,,,,
Q11A0159,Q11A0159_N03,CODE_BINARY,497f14eeb25021c1f62bbe9c73f1af7c,5583cfde439fb7688ae47900dfb23ca9,0012d6a4466ffd66b0095e8b08d730e1,9,215,61,,,,,,,,,,
Q11A0159,Q11A0159_N04,CODE_BINARY,51bbc1fc3502f2289de3e107f8cada08,35ba868e439e5f23a8474a10bf8233cf,7227d65c5c61a6e7d83bc69f0bba2b79,11,329,65,,,,,,,,,,
Q11A0159,Q11A0159_N05,CODE_BINARY,89a24e8d80433a66e192e8af210dfae4,579343fe409fb629a2c6799096b63c89,4e025e84b4e674a31b359ba7920f349a,6,93,69,,,,,,,,,,
Q11A0159,Q11A0159_N06,STRUCTURED,,,,,,,8de508dabdda93c495c6f7ef1da3d552,23,JSON,,,,,,,
Q11A0159,Q11A0159_N07,IMAGE,,,,,,,,,,003c7e66667e3c00,0e0f3333332b0f0c,05955adf607a6179,"5123,15,28,4757,13,12,18,6,27,0,0,0,0,0,0,0",1800,1800,1
Q11A0160,Q11A0160_N01,CODE_BINARY,6469bfe0b0c51556e0701830719d7882,f1ba45de471ff7a12ac678a2f79325c1,183bd23ddf0966af3548c48f073263b1,11,1106,69,,,,,,,,,,
Q11A0160,Q11A0160_N02,CODE_BINARY,c8a6f335962ffe05ed90e52449fa8e68,11bac7de4797ff61ac4668a2ff82358d,33b3d23c4768ea2618394dda3bfc21d9,14,279,61,,,,,,,,,,
Q11A0160,Q11A0160_N03,CODE_BINARY,89a24e8d80433a66e192e8af210dfae4,579343fe409fb629a2c6799096b63c89,4e025e84b4e674a31b359ba7920f349a,6,93,69,,,,,,,,,,
Q11A0160,Q11A0160_N04,CODE_BINARY,c5c5e065865172fc6be13964daf1516d,758b8bdf039eb7e88ad43820f7b317a3,4223509c4eb866af713bce9f2b3a2171,27,2316,69,,,,,,,,,,
Q11A0160,Q11A0160_N05,CODE_BINARY,074d6dedb50bb92cea20e6e20bec626a,d3a2487a408df760aae47010d2b33daf,822887a59d6bfa77b0a9b5aea99388ab,4,121,61,,,,,,,,,,
Q11A0160,Q11A0160_N06,STRUCTURED,,,,,,,2e2f14021e85f6d28cb7f8a735d325e6,16,JSON,,,,,,,
Q11A0160,Q11A0160_N07,IMAGE,,,,,,,,,,ffffff00000083ff,0000b2a1ada19900,3fc0c03f1936e6c9,"1777,1025,20,20,10,0,0,625,98,68,49,68,88,0,117,6035",32,32,1
Q11A0161,Q11A0161_N01,CODE_BINARY,c880f0176cf622acff6a9a49abcb530c,d5b283ba439edf212ee65890f7823a8b,7223f6096c61a03f1419debe0c732b71,21,468,61,,,,,,,,,,
Q11A0161,Q11A0161_N02,CODE_BINARY,66bee65bd256cf85f70cfd41cfe128ac,55bac7fa439ff7212ec64890b780bb89,523a1dbc85da98e51e382d17ebfe4189,13,191,65,,,,,,,,,,
Q11A0161,Q11A0161_N03,CODE_BINARY,d4fdcefcf2f4df3cdf99a148632ff4e8,539334ee619fba60aec76388d689610f,dbff9dbcacf52673fa736d97baf5665f,4,13,65,,,,,,,,,,
Q11A0161,Q11A0161_N04,CODE_BINARY,8fae80538398cbb7eda7c56547d4f560,5793d5de419db6388ec4fb80d6a36988,1c9bd0aa4ac7a4e4493854442ebfa522,3,25,61,,,,,,,,,,
