method,component_accuracy,parent_set_f1,parent_set_exact,k_accuracy,k_mae,unknown_precision,unknown_recall,unknown_f1
Independent_Component,0.7757936507936508,0.7974118165784834,0.2861111111111111,0.325,0.8555555555555555,0.654158215010142,0.8565737051792829,0.7418056354226568
Hierarchical_Content_Top10_Beta0,0.8071428571428572,0.8435449735449735,0.41388888888888886,0.48055555555555557,0.5333333333333333,0.6517509727626459,0.8897742363877822,0.7523862998315552
Final_Graph_Beta0.1,0.805952380952381,0.8442328042328041,0.41944444444444445,0.4861111111111111,0.5277777777777778,0.6524271844660194,0.8924302788844621,0.7537857543466069
Oracle_KnownParentCount_Content,0.8257936507936507,0.8729761904761906,0.5583333333333333,0.6277777777777778,0.37222222222222223,0.6654578422484134,0.9747675962815405,0.790948275862069
