scale,scale_type,backend,queries,unique_registered_parents,base_real_components,component_multiplier,effective_gallery_components,mean_shortlist_parents,shortlist_fraction,mean_exact_top10_overlap,exact_top10_identical_rate,search_mean_ms,search_p50_ms,search_p95_ms,search_p99_ms,throughput_qps,speedup_p50_vs_exact,speedup_p95_vs_exact,state_build_ms,lsh_index_build_ms,lsh_index_keys,lsh_unique_parent_postings,numeric_array_mb,candidate_pool_under_10_queries,empty_shortlist_before_fallback
20,REAL,EXACT,120,20,15662,1,15662,20.0,1.0,1.0,1.0,4.761328266666666,4.607063999999999,5.329356549999999,7.899609080000001,209.54731148546733,1.0,1.0,102.67662,0.0,0,0,0.6248207092285156,,
20,REAL,FAST,120,20,15662,1,15662,7.85,0.39249999999999996,0.6008333333333334,0.18333333333333332,4.523777216666665,4.8048355,5.95747015,6.5512033999999995,220.34034592435435,0.9588390695165316,0.8945670588043146,102.67662,111.100053,50536,52936,0.6248207092285156,85.0,4.0
20,REAL,BALANCED,120,20,15662,1,15662,18.366666666666667,0.9183333333333333,1.0,1.0,5.82559205,5.8170985,6.47845655,6.546860710000001,171.11143398571213,0.79198658919047,0.8226275053122026,102.67662,142.163246,70313,84332,0.6248207092285156,0.0,0.0
20,REAL,HIGH_RECALL,120,20,15662,1,15662,19.991666666666667,0.9995833333333334,1.0,1.0,5.61163225,5.5325045,6.07098955,6.4705204,177.78949133964275,0.8327266611351151,0.8778398490242828,102.67662,137.959411,18148,63193,0.6248207092285156,0.0,0.0
40,REAL,EXACT,120,40,23398,1,23398,40.0,1.0,1.0,1.0,9.251576625,8.846657,9.5196736,10.71269992,107.97087702613682,1.0,1.0,159.11932,0.0,0,0,1.017852783203125,,
40,REAL,FAST,120,40,23398,1,23398,14.0,0.35,0.7158333333333334,0.2833333333333333,7.069276258333333,7.7974855000000005,9.7229524,9.84541973,141.16887736344347,1.1345525426113328,0.9790928936358878,159.11932,143.604465,80112,87051,1.017852783203125,50.0,0.0
40,REAL,BALANCED,120,40,23398,1,23398,36.166666666666664,0.9041666666666666,1.0,1.0,9.734644991666668,9.6595965,10.5340758,10.91770517,102.58960020087318,0.9158412569303491,0.9037027814058449,159.11932,233.385756,104541,140206,1.017852783203125,0.0,0.0
40,REAL,HIGH_RECALL,120,40,23398,1,23398,39.475,0.9868750000000001,1.0,1.0,9.918449041666666,9.814551999999999,10.5315344,11.101786670000001,100.68645981007157,0.9013816422797496,0.9039208569645845,159.11932,179.636738,18984,115041,1.017852783203125,0.0,0.0
60,REAL_FROZEN_TEST,EXACT,120,60,26329,1,26329,60.0,1.0,1.0,1.0,10.363484541666667,10.315386499999999,10.947335350000001,11.140909240000001,96.39246012778902,1.0,1.0,178.563405,0.0,0,0,1.1667518615722656,,
60,REAL_FROZEN_TEST,FAST,120,60,26329,1,26329,18.783333333333335,0.3130555555555556,0.7566666666666666,0.31666666666666665,8.084714508333333,8.84792,10.874974,11.38310899,123.4700062411413,1.165854404198953,1.0066539331496334,178.563405,191.280712,96379,105750,1.1667518615722656,22.0,0.0
60,REAL_FROZEN_TEST,BALANCED,120,60,26329,1,26329,54.19166666666667,0.9031944444444445,1.0,1.0,11.3090286,11.2451765,11.909681899999999,12.35135577,88.32051406213317,0.9173165490110359,0.919196284327292,178.563405,269.532945,122308,171804,1.1667518615722656,0.0,0.0
60,REAL_FROZEN_TEST,HIGH_RECALL,120,60,26329,1,26329,59.36666666666667,0.9894444444444445,1.0,1.0,11.5566183,11.465834000000001,12.297114200000001,12.48704528,86.4248992623812,0.8996629900624759,0.8902361295465565,178.563405,204.968379,19314,147582,1.1667518615722656,0.0,0.0
