beta,mean_parent_set_f1,mean_component_accuracy,mean_k_accuracy,known_component_accuracy,known_parent_set_f1,known_parent_set_exact,known_k_accuracy,known_k_mae,pseudo_component_accuracy,pseudo_parent_set_f1,pseudo_parent_set_exact,pseudo_k_accuracy,pseudo_k_mae,pseudo_unknown_precision,pseudo_unknown_recall,pseudo_unknown_f1
0.0,0.8132671957671957,0.7853174603174604,0.475,0.7357142857142858,0.7522751322751323,0.17777777777777778,0.35,0.7222222222222222,0.834920634920635,0.8742592592592593,0.5555555555555556,0.6,0.43333333333333335,0.8640296662546354,0.8938618925831202,0.8786926461345067
0.1,0.813941798941799,0.7857142857142858,0.4722222222222222,0.734920634920635,0.7513492063492064,0.17777777777777778,0.35,0.7222222222222222,0.8365079365079365,0.8765343915343916,0.5611111111111111,0.5944444444444444,0.4388888888888889,0.8641975308641975,0.8951406649616368,0.879396984924623
0.2,0.8135714285714286,0.7853174603174603,0.4666666666666667,0.7341269841269841,0.7498677248677249,0.17777777777777778,0.34444444444444444,0.7277777777777777,0.8365079365079365,0.8772751322751322,0.5555555555555556,0.5888888888888889,0.43333333333333335,0.8633004926108374,0.8964194373401535,0.8795483061480551
0.3,0.8138359788359788,0.7857142857142857,0.46944444444444444,0.7341269841269841,0.7498677248677249,0.17777777777777778,0.34444444444444444,0.7277777777777777,0.8373015873015873,0.8778042328042327,0.5555555555555556,0.5944444444444444,0.42777777777777776,0.8634686346863468,0.8976982097186701,0.8802507836990596
0.4,0.8131481481481482,0.7853174603174603,0.4722222222222222,0.7333333333333333,0.7488095238095239,0.17777777777777778,0.35,0.7222222222222222,0.8373015873015873,0.8774867724867723,0.5555555555555556,0.5944444444444444,0.42777777777777776,0.8625766871165644,0.8989769820971867,0.8804007514088916
0.5,0.811415343915344,0.7821428571428571,0.47777777777777775,0.726984126984127,0.7435449735449737,0.17777777777777778,0.36666666666666664,0.6888888888888889,0.8373015873015873,0.8792857142857141,0.5555555555555556,0.5888888888888889,0.43333333333333335,0.8618581907090465,0.90153452685422,0.8812500000000001
0.6,0.8077777777777777,0.7797619047619048,0.48333333333333334,0.7222222222222222,0.7363492063492063,0.17777777777777778,0.37777777777777777,0.6777777777777778,0.8373015873015873,0.8792063492063492,0.55,0.5888888888888889,0.42777777777777776,0.8576598311218335,0.9092071611253197,0.8826815642458101
0.7,0.8050793650793651,0.7765873015873016,0.5333333333333333,0.7087301587301588,0.714021164021164,0.16666666666666666,0.4,0.6444444444444445,0.8444444444444444,0.8961375661375661,0.6222222222222222,0.6666666666666666,0.34444444444444444,0.8516355140186916,0.9322250639386189,0.8901098901098901
0.8,0.8029497354497355,0.7742063492063492,0.5305555555555556,0.7055555555555556,0.7108730158730159,0.16666666666666666,0.4,0.6444444444444445,0.8428571428571429,0.895026455026455,0.6166666666666667,0.6611111111111111,0.35,0.8496503496503497,0.9322250639386189,0.8890243902439025
0.9,0.8024867724867725,0.773015873015873,0.5305555555555556,0.7031746031746032,0.7092063492063492,0.16666666666666666,0.40555555555555556,0.6388888888888888,0.8428571428571429,0.8957671957671958,0.6166666666666667,0.6555555555555556,0.35555555555555557,0.8498253783469151,0.9335038363171355,0.8897014015843997
1.0,0.7879100529100529,0.7595238095238095,0.5166666666666667,0.6817460317460318,0.6887037037037037,0.16666666666666666,0.3888888888888889,0.6555555555555556,0.8373015873015873,0.8871164021164022,0.6055555555555555,0.6444444444444445,0.38333333333333336,0.8365493757094211,0.9424552429667519,0.8863499699338545
