query_id,scenario,k_true,known_true_parent_count,known_true_parents_covered,known_parent_recall,all_known_true_parents_present,candidate_pool
Q11A0025,MU_1K2U,2,1,1,1.0,True,"[""FMOD0087"", ""FMOD0023"", ""FMOD0119"", ""FMOD0083"", ""FMOD0036"", ""FMOD0004"", ""FMOD0067"", ""FMOD0025"", ""FMOD0024"", ""FMOD0035""]"
Q11A0026,MU_1K2U,2,1,1,1.0,True,"[""FMOD0050"", ""FMOD0086"", ""FMOD0035"", ""FMOD0119"", ""FMOD0102"", ""FMOD0069"", ""FMOD0120"", ""FMOD0033"", ""FMOD0031"", ""FMOD0005""]"
Q11A0027,MU_1K2U,2,1,1,1.0,True,"[""FMOD0016"", ""FMOD0023"", ""FMOD0035"", ""FMOD0119"", ""FMOD0079"", ""FMOD0102"", ""FMOD0110"", ""FMOD0036"", ""FMOD0120"", ""FMOD0055""]"
Q11A0028,MU_1K2U,2,1,1,1.0,True,"[""FMOD0005"", ""FMOD0035"", ""FMOD0014"", ""FMOD0102"", ""FMOD0083"", ""FMOD0069"", ""FMOD0080"", ""FMOD0036"", ""FMOD0119"", ""FMOD0024""]"
Q11A0029,MU_1K2U,2,1,1,1.0,True,"[""FMOD0069"", ""FMOD0119"", ""FMOD0083"", ""FMOD0025"", ""FMOD0055"", ""FMOD0079"", ""FMOD0120"", ""FMOD0110"", ""FMOD0102"", ""FMOD0023""]"
Q11A0030,MU_1K2U,2,1,1,1.0,True,"[""FMOD0040"", ""FMOD0120"", ""FMOD0119"", ""FMOD0102"", ""FMOD0035"", ""FMOD0036"", ""FMOD0023"", ""FMOD0110"", ""FMOD0079"", ""FMOD0069""]"
Q11A0031,MU_2K2U,3,2,2,1.0,True,"[""FMOD0005"", ""FMOD0060"", ""FMOD0035"", ""FMOD0023"", ""FMOD0096"", ""FMOD0055"", ""FMOD0079"", ""FMOD0102"", ""FMOD0120"", ""FMOD0086""]"
Q11A0032,MU_2K2U,3,2,2,1.0,True,"[""FMOD0023"", ""FMOD0036"", ""FMOD0035"", ""FMOD0031"", ""FMOD0033"", ""FMOD0004"", ""FMOD0119"", ""FMOD0067"", ""FMOD0120"", ""FMOD0016""]"
Q11A0033,MU_2K2U,3,2,2,1.0,True,"[""FMOD0043"", ""FMOD0023"", ""FMOD0035"", ""FMOD0079"", ""FMOD0005"", ""FMOD0036"", ""FMOD0069"", ""FMOD0120"", ""FMOD0024"", ""FMOD0055""]"
Q11A0034,MU_2K2U,3,2,2,1.0,True,"[""FMOD0025"", ""FMOD0023"", ""FMOD0069"", ""FMOD0043"", ""FMOD0055"", ""FMOD0102"", ""FMOD0035"", ""FMOD0096"", ""FMOD0100"", ""FMOD0119""]"
Q11A0035,MU_2K2U,3,2,2,1.0,True,"[""FMOD0055"", ""FMOD0035"", ""FMOD0023"", ""FMOD0069"", ""FMOD0025"", ""FMOD0100"", ""FMOD0102"", ""FMOD0083"", ""FMOD0040"", ""FMOD0120""]"
Q11A0036,MU_2K2U,3,2,2,1.0,True,"[""FMOD0087"", ""FMOD0089"", ""FMOD0003"", ""FMOD0023"", ""FMOD0035"", ""FMOD0119"", ""FMOD0079"", ""FMOD0110"", ""FMOD0102"", ""FMOD0120""]"
Q11A0037,MU_2K2U,3,2,2,1.0,True,"[""FMOD0077"", ""FMOD0014"", ""FMOD0023"", ""FMOD0055"", ""FMOD0119"", ""FMOD0005"", ""FMOD0036"", ""FMOD0086"", ""FMOD0035"", ""FMOD0102""]"
Q11A0038,MU_2K2U,3,2,2,1.0,True,"[""FMOD0025"", ""FMOD0003"", ""FMOD0036"", ""FMOD0023"", ""FMOD0089"", ""FMOD0035"", ""FMOD0120"", ""FMOD0079"", ""FMOD0005"", ""FMOD0055""]"
Q11A0039,MU_2K2U,3,2,2,1.0,True,"[""FMOD0023"", ""FMOD0096"", ""FMOD0035"", ""FMOD0043"", ""FMOD0036"", ""FMOD0119"", ""FMOD0040"", ""FMOD0055"", ""FMOD0102"", ""FMOD0060""]"
Q11A0040,MU_2K2U,3,2,2,1.0,True,"[""FMOD0083"", ""FMOD0061"", ""FMOD0035"", ""FMOD0005"", ""FMOD0102"", ""FMOD0069"", ""FMOD0077"", ""FMOD0079"", ""FMOD0036"", ""FMOD0024""]"
Q11A0041,MU_2K2U,3,2,2,1.0,True,"[""FMOD0040"", ""FMOD0060"", ""FMOD0119"", ""FMOD0035"", ""FMOD0023"", ""FMOD0055"", ""FMOD0102"", ""FMOD0069"", ""FMOD0079"", ""FMOD0036""]"
Q11A0042,MU_2K2U,3,2,2,1.0,True,"[""FMOD0077"", ""FMOD0011"", ""FMOD0023"", ""FMOD0035"", ""FMOD0091"", ""FMOD0069"", ""FMOD0024"", ""FMOD0025"", ""FMOD0083"", ""FMOD0036""]"
Q11A0043,MU_2K2U,3,2,1,0.5,False,"[""FMOD0004"", ""FMOD0035"", ""FMOD0119"", ""FMOD0102"", ""FMOD0120"", ""FMOD0023"", ""FMOD0069"", ""FMOD0086"", ""FMOD0036"", ""FMOD0080""]"
Q11A0044,MU_2K2U,3,2,1,0.5,False,"[""FMOD0096"", ""FMOD0023"", ""FMOD0035"", ""FMOD0036"", ""FMOD0005"", ""FMOD0110"", ""FMOD0102"", ""FMOD0077"", ""FMOD0119"", ""FMOD0079""]"
Q11A0045,MU_2K2U,3,2,2,1.0,True,"[""FMOD0069"", ""FMOD0022"", ""FMOD0033"", ""FMOD0036"", ""FMOD0102"", ""FMOD0120"", ""FMOD0005"", ""FMOD0075"", ""FMOD0119"", ""FMOD0110""]"
Q11A0046,MU_2K2U,3,2,2,1.0,True,"[""FMOD0035"", ""FMOD0036"", ""FMOD0102"", ""FMOD0069"", ""FMOD0119"", ""FMOD0120"", ""FMOD0023"", ""FMOD0079"", ""FMOD0055"", ""FMOD0025""]"
Q11A0047,MU_2K2U,3,2,2,1.0,True,"[""FMOD0036"", ""FMOD0069"", ""FMOD0023"", ""FMOD0035"", ""FMOD0055"", ""FMOD0079"", ""FMOD0051"", ""FMOD0040"", ""FMOD0119"", ""FMOD0120""]"
Q11A0048,MU_2K2U,3,2,2,1.0,True,"[""FMOD0003"", ""FMOD0055"", ""FMOD0023"", ""FMOD0025"", ""FMOD0069"", ""FMOD0089"", ""FMOD0100"", ""FMOD0040"", ""FMOD0102"", ""FMOD0083""]"
Q11A0049,MU_2K2U,3,2,2,1.0,True,"[""FMOD0035"", ""FMOD0023"", ""FMOD0083"", ""FMOD0079"", ""FMOD0102"", ""FMOD0055"", ""FMOD0120"", ""FMOD0069"", ""FMOD0119"", ""FMOD0036""]"
Q11A0050,MU_2K2U,3,2,2,1.0,True,"[""FMOD0066"", ""FMOD0083"", ""FMOD0023"", ""FMOD0079"", ""FMOD0055"", ""FMOD0069"", ""FMOD0120"", ""FMOD0110"", ""FMOD0119"", ""FMOD0035""]"
Q11A0051,MU_2K2U,3,2,1,0.5,False,"[""FMOD0077"", ""FMOD0055"", ""FMOD0069"", ""FMOD0023"", ""FMOD0025"", ""FMOD0036"", ""FMOD0119"", ""FMOD0110"", ""FMOD0120"", ""FMOD0035""]"
Q11A0052,MU_2K2U,3,2,2,1.0,True,"[""FMOD0055"", ""FMOD0096"", ""FMOD0119"", ""FMOD0035"", ""FMOD0120"", ""FMOD0069"", ""FMOD0077"", ""FMOD0036"", ""FMOD0023"", ""FMOD0075""]"
Q11A0053,MU_2K2U,3,2,2,1.0,True,"[""FMOD0099"", ""FMOD0067"", ""FMOD0035"", ""FMOD0005"", ""FMOD0102"", ""FMOD0069"", ""FMOD0079"", ""FMOD0036"", ""FMOD0077"", ""FMOD0083""]"
Q11A0054,MU_2K2U,3,2,2,1.0,True,"[""FMOD0035"", ""FMOD0023"", ""FMOD0079"", ""FMOD0102"", ""FMOD0089"", ""FMOD0120"", ""FMOD0119"", ""FMOD0036"", ""FMOD0069"", ""FMOD0055""]"
Q11A0055,MU_2K2U,3,2,2,1.0,True,"[""FMOD0089"", ""FMOD0005"", ""FMOD0003"", ""FMOD0023"", ""FMOD0035"", ""FMOD0079"", ""FMOD0119"", ""FMOD0120"", ""FMOD0102"", ""FMOD0036""]"
Q11A0056,MU_2K2U,3,2,2,1.0,True,"[""FMOD0035"", ""FMOD0051"", ""FMOD0023"", ""FMOD0016"", ""FMOD0069"", ""FMOD0119"", ""FMOD0055"", ""FMOD0102"", ""FMOD0036"", ""FMOD0014""]"
Q11A0057,MU_2K2U,3,2,2,1.0,True,"[""FMOD0005"", ""FMOD0087"", ""FMOD0023"", ""FMOD0036"", ""FMOD0055"", ""FMOD0079"", ""FMOD0110"", ""FMOD0102"", ""FMOD0035"", ""FMOD0120""]"
Q11A0058,MU_2K2U,3,2,2,1.0,True,"[""FMOD0035"", ""FMOD0053"", ""FMOD0023"", ""FMOD0036"", ""FMOD0119"", ""FMOD0120"", ""FMOD0069"", ""FMOD0102"", ""FMOD0079"", ""FMOD0110""]"
Q11A0059,MU_2K2U,3,2,2,1.0,True,"[""FMOD0053"", ""FMOD0102"", ""FMOD0119"", ""FMOD0120"", ""FMOD0016"", ""FMOD0079"", ""FMOD0110"", ""FMOD0036"", ""FMOD0069"", ""FMOD0077""]"
Q11A0060,MU_2K2U,3,2,1,0.5,False,"[""FMOD0025"", ""FMOD0069"", ""FMOD0077"", ""FMOD0023"", ""FMOD0119"", ""FMOD0102"", ""FMOD0120"", ""FMOD0035"", ""FMOD0033"", ""FMOD0053""]"
Q11A0061,MU_1K3U,2,1,1,1.0,True,"[""FMOD0067"", ""FMOD0035"", ""FMOD0023"", ""FMOD0051"", ""FMOD0055"", ""FMOD0119"", ""FMOD0113"", ""FMOD0025"", ""FMOD0079"", ""FMOD0120""]"
Q11A0062,MU_1K3U,2,1,1,1.0,True,"[""FMOD0110"", ""FMOD0080"", ""FMOD0086"", ""FMOD0015"", ""FMOD0120"", ""FMOD0079"", ""FMOD0023"", ""FMOD0035"", ""FMOD0011"", ""FMOD0102""]"
Q11A0063,MU_1K3U,2,1,1,1.0,True,"[""FMOD0003"", ""FMOD0023"", ""FMOD0069"", ""FMOD0055"", ""FMOD0025"", ""FMOD0089"", ""FMOD0100"", ""FMOD0014"", ""FMOD0120"", ""FMOD0102""]"
